species,od,temp(G),time point
BB13_09,-0.013133333,15,8
BB13_09,0.071366667,15,20
BB13_09,0.095466667,15,24
BB13_09,0.119133333,15,28
BB13_09,0.1315,15,32
BB13_09,0.167433333,15,44
BB13_09,0.187433333,15,48
BB13_09,0.2048,15,52
BB13_09,0.202866667,15,56
BB13_09,0.240866667,15,68
BB13_09,0.213366667,15,72
BB13_09,0.2152,15,76
BB13_09,0.2214,15,80
BB13_09,0.23345,15,92
BB13_09,0.2387,15,96
BB13_09,0.239366667,15,100
BB13_09,0.238133333,15,104
BB13_09,0.239,15,116
BB13_09,0.2384,15,120
BB13_09,0.002,18,0
BB13_09,0.001133333,18,4
BB13_09,0.005133333,18,8
BB13_09,0.088,18,20
BB13_09,0.116533333,18,24
BB13_09,0.136333333,18,28
BB13_09,0.1614,18,32
BB13_09,0.2451,18,44
BB13_09,0.2666,18,48
BB13_09,0.2646,18,52
BB13_09,0.2502,18,56
BB13_09,0.2483,18,68
BB13_09,0.2506,18,72
BB13_09,0.2522,18,76
BB13_09,0.2567,18,80
BB13_09,0.2586,18,92
BB13_09,0.255,18,96
BB13_09,0.25592,18,100
BB13_09,0.2572,18,104
BB13_09,0.257,18,116
BB13_09,0.257666667,18,120
BB13_09,0.003,21,0
BB13_09,0.0032,21,4
BB13_09,0.0136,21,8
BB13_09,0.0984,21,20
BB13_09,0.124533333,21,24
BB13_09,0.1442,21,28
BB13_09,0.1798,21,32
BB13_09,0.239766667,21,44
BB13_09,0.2289,21,48
BB13_09,0.2351,21,52
BB13_09,0.2337,21,56
BB13_09,0.2286,21,68
BB13_09,0.2267,21,72
BB13_09,0.2255,21,76
BB13_09,0.2258,21,80
BB13_09,0.2303,21,92
BB13_09,0.2322,21,96
BB13_09,0.232966667,21,100
BB13_09,0.2455,21,104
BB13_09,0.241033333,21,116
BB13_09,0.235166667,21,120
BB13_09,0.0034,25,0
BB13_09,-0.001333333,25,4
BB13_09,0.088966667,25,8
BB13_09,0.121966667,25,20
BB13_09,0.144633333,25,24
BB13_09,0.16675,25,28
BB13_09,0.20325,25,32
BB13_09,0.2563,25,44
BB13_09,0.257533333,25,48
BB13_09,0.263866667,25,52
BB13_09,0.255466667,25,56
BB13_09,0.266,25,68
BB13_09,0.259066667,25,72
BB13_09,0.242466667,25,76
BB13_09,0.259333333,25,80
BB13_09,0.254366667,25,92
BB13_09,0.253833333,25,96
BB13_09,0.2787,25,100
BB13_09,0.265133333,25,104
BB13_09,0.261466667,25,116
BB13_09,0.2624,25,120
BB13_09,0.016,28,0
BB13_09,0.0135,28,4
BB13_09,0.048133333,28,8
BB13_09,0.083033333,28,20
BB13_09,0.075833333,28,24
BB13_09,0.087,28,28
BB13_09,0.0897,28,32
BB13_09,0.076233333,28,44
BB13_09,0.073233333,28,48
BB13_09,0.078766667,28,52
BB13_09,0.090166667,28,56
BB13_09,0.118933333,28,68
BB13_09,0.1321,28,72
BB13_09,0.140333333,28,76
BB13_09,0.1604,28,80
BB13_09,0.1196,28,92
BB13_09,0.0938,28,96
BB13_09,0.0982,28,100
BB13_09,0.121,28,104
BB13_09,0.1324,28,116
BB13_09,0.1322,28,120
SP03_02,-0.0005,12,0
SP03_02,0.0195,12,4
SP03_02,0.042166667,12,8
SP03_02,0.084,12,20
SP03_02,0.1482,12,24
SP03_02,0.1642,12,28
SP03_02,0.163366667,12,32
SP03_02,0.2592,12,44
SP03_02,0.2239,12,48
SP03_02,0.2136,12,52
SP03_02,0.216666667,12,56
SP03_02,0.2195,12,68
SP03_02,0.2172,12,72
SP03_02,0.212633333,12,76
SP03_02,0.210366667,12,80
SP03_02,0.2245,12,92
SP03_02,0.212333333,12,96
SP03_02,0.212333333,12,100
SP03_02,0.206466667,12,104
SP03_02,0.210366667,12,116
SP03_02,0.205066667,12,120
SP03_02,0.0048,15,0
SP03_02,0.006466667,15,4
SP03_02,0.021533333,15,8
SP03_02,0.1451,15,20
SP03_02,0.146466667,15,24
SP03_02,0.1653,15,28
SP03_02,0.1875,15,32
SP03_02,0.2066,15,44
SP03_02,0.208266667,15,48
SP03_02,0.209466667,15,52
SP03_02,0.204533333,15,56
SP03_02,0.209366667,15,68
SP03_02,0.203866667,15,72
SP03_02,0.203366667,15,76
SP03_02,0.204933333,15,80
SP03_02,0.2077,15,92
SP03_02,0.203866667,15,96
SP03_02,0.2007,15,100
SP03_02,0.199966667,15,104
SP03_02,0.200966667,15,116
SP03_02,0.197633333,15,120
SP03_02,-0.0046,18,0
SP03_02,0.0008,18,4
SP03_02,0.0418,18,8
SP03_02,0.153833333,18,20
SP03_02,0.1932,18,24
SP03_02,0.2155,18,28
SP03_02,0.2314,18,32
SP03_02,0.2563,18,44
SP03_02,0.2166,18,48
SP03_02,0.2248,18,52
SP03_02,0.2214,18,56
SP03_02,0.2103,18,68
SP03_02,0.21,18,72
SP03_02,0.2046,18,76
