Spent_media,Temp,Species,Rmax,K,AUC,AUCf,aucratio,log10(ratio)
S56,21,BB13_09,0.269081412,0.157607674,17.75275,22.58153333,0.786162292,-0.1045 
S56,25,BB13_09,0.045863757,0.41614689,31.64426666,25.85166668,1.224070659,0.0878 
S56,28,BB13_09,0.513289336,0.201587686,20.015,11.78426666,1.698451043,0.2301 
S56,12,SP03_02,0.321652832,0.204590808,22.5378,21.59753335,1.043535835,0.0185 
S56,15,SP03_02,0.227114603,0.198955139,21.92893334,20.90153334,1.049154289,0.0208 
S56,18,SP03_02,1.563222344,0.178948766,20.0355,22.21541333,0.901873834,-0.0449 
S56,21,SP03_02,0.21133335,0.189205818,21.37525,23.21233333,0.920857447,-0.0358 
S56,25,SP03_02,0.051783379,0.369635217,29.66446666,26.115,1.135916778,0.0553 
S56,28,SP03_02,0.163216529,0.229504144,24.0417,26.18466666,0.918159483,-0.0371 
S56,12,SP03_19,0.163941089,0.219642431,22.38851666,15.50099999,1.444327248,0.1597 
S56,15,SP03_19,0.182661493,0.18894872,19.61733334,17.92573332,1.094367131,0.0392 
S56,18,SP03_19,1.459796207,0.183746632,20.68995002,20.30084667,1.019166853,0.0082 
S56,21,SP03_19,0.17327095,0.178124685,19.784125,21.91980001,0.902568682,-0.0445 
S56,25,SP03_19,0.045049708,0.425451958,33.03546666,19.4858,1.695361066,0.2293 
S56,28,SP03_19,0.254084363,0.290875068,31.9985,20.84536667,1.53504136,0.1861 
SP03_02,12,S18,0.069208374,0.210593634,15.80600001,15.20860001,1.039280407,0.0167 
SP03_02,15,S18,0.095423853,0.240089297,20.4561,16.85966666,1.213315803,0.0840 
SP03_02,18,S18,0.177484901,0.17952888,18.082875,23.41081333,0.772415496,-0.1121 
SP03_02,21,S18,0.150991563,0.240517035,23.86235,21.81786666,1.09370684,0.0389 
SP03_02,25,S18,0.343442907,0.228431913,23.851,23.3699,1.02058631,0.0088 
SP03_02,28,S18,0.037388617,0.244321103,14.77841667,26.6884,0.553739328,-0.2567 
SP03_02,12,S56,0.06967546,0.243587093,16.89425,16.0574,1.052116158,0.0221 
SP03_02,15,S56,0.093518395,0.287552867,23.1927,19.30353333,1.201474342,0.0797 
SP03_02,18,S56,0.086342213,0.240179032,24.138,25.66334667,0.940563221,-0.0266 
SP03_02,21,S56,0.122361071,0.275497436,26.68205,22.62203333,1.179471784,0.0717 
SP03_02,25,S56,0.159942615,0.282235901,29.91866668,25.96493335,1.152272038,0.0616 
SP03_02,28,S56,0.038968185,0.265522535,13.75299999,29.9808,0.458726918,-0.3384 
SP03_02,12,BB19_16,0.038633547,0.240833892,8.760266669,26.92722667,0.325331189,-0.4877 
SP03_02,15,BB19_16,0.062481681,0.201234288,8.319166675,28.36453333,0.293294678,-0.5327 
SP03_02,18,BB19_16,0.100108796,0.135169104,11.382,26.72568,0.425882522,-0.3707 
SP03_02,21,BB19_16,0.132526666,0.126500243,12.51125,25.99873333,0.481225367,-0.3177 
SP03_02,25,BB19_16,0.184931024,0.098465805,10.14533336,30.68213334,0.33065932,-0.4806 
SP03_02,28,BB19_16,1.457560993,0.047514608,5.024916674,26.71133333,0.188119276,-0.7256 
SP03_02,12,WYC41_02,0.076391915,0.2177468,21.01760001,17.44893333,1.204520621,0.0808 
SP03_02,15,WYC41_02,0.343507415,0.229022297,24.46483333,17.09456666,1.431146739,0.1557 
SP03_02,18,WYC41_02,0.201076812,0.168717609,18.66,23.02688,0.810357287,-0.0913 
SP03_02,21,WYC41_02,0.284045415,0.184735511,21.04715,25.14486667,0.837035657,-0.0773 
SP03_02,25,WYC41_02,0.048566702,0.410463363,33.1595,28.2622,1.173280919,0.0694 
SP03_02,28,WYC41_02,0.074389928,0.035677497,3.411083333,24.62386667,0.138527526,-0.8585 
SP03_02,12,WYM25_02,0.479682834,0.163217345,12.61950001,17.8912,0.705346763,-0.1516 
SP03_02,15,WYM25_02,0.496680064,0.172138107,15.2481,17.62583333,0.865099523,-0.0629 
